region,fecha,año,mes,dia,temp_media_c,temp_max_c,temp_min_c,precipitacion_mm,humedad_pct,viento_kmh,fase_enos
Pacífico Norte,1/25/2020,2020,1,25,27.6,32.7,24,0,54,22.5,Neutro
Pacífico Norte,1/26/2020,2020,1,26,27.6,32.8,22.6,0,57,17,Neutro
Pacífico Norte,1/27/2020,2020,1,27,26.8,31.8,23,3.5,71,6.5,Neutro
Pacífico Norte,1/28/2020,2020,1,28,26.5,33.1,22,6,77,7.1,Neutro
Pacífico Norte,1/29/2020,2020,1,29,26.1,30.9,23.3,2.5,83,6.4,Neutro
Pacífico Norte,1/30/2020,2020,1,30,27,33.2,22.4,0.6,75,4.1,Neutro
Pacífico Norte,1/31/2020,2020,1,31,26.5,33.4,19.3,0,65,10.9,Neutro
Pacífico Norte,2/1/2020,2020,2,1,27.7,33,22.8,0.6,57,11.7,Neutro
Pacífico Norte,2/2/2020,2020,2,2,27.9,32.8,24,0.1,61,13.6,Neutro
Pacífico Norte,2/3/2020,2020,2,3,27.4,32.5,22.9,0,65,15.2,Neutro
Pacífico Norte,2/4/2020,2020,2,4,28.3,33.8,23.9,0,58,20.1,Neutro
Pacífico Norte,2/5/2020,2020,2,5,28.7,34.3,23.1,0,57,18.5,Neutro
Pacífico Norte,2/6/2020,2020,2,6,28.7,35.1,22.1,0,58,9.5,Neutro
Pacífico Norte,2/7/2020,2020,2,7,28,35.6,21,0,61,7.4,Neutro
Pacífico Norte,2/8/2020,2020,2,8,27.7,33.9,21.2,0,59,17.9,Neutro
Pacífico Norte,2/9/2020,2020,2,9,27.9,32.8,23.6,0,53,22.9,Neutro
Pacífico Norte,2/10/2020,2020,2,10,27.9,34.2,23.4,0,59,17,Neutro
Pacífico Norte,2/11/2020,2020,2,11,28.3,33.9,24.2,0,59,20.8,Neutro
Pacífico Norte,2/12/2020,2020,2,12,28.7,34.4,25,0,58,25.5,Neutro
Pacífico Norte,2/13/2020,2020,2,13,28.7,34.5,24.3,0,58,22.1,Neutro
Pacífico Norte,2/14/2020,2020,2,14,27.9,33.3,23,0,60,22.8,Neutro
Pacífico Norte,2/15/2020,2020,2,15,28,33,23.3,0,59,26.1,Neutro
Pacífico Norte,2/16/2020,2020,2,16,27.8,33,23.7,0,59,25.6,Neutro
Pacífico Norte,2/17/2020,2020,2,17,28.5,33.4,25.5,0,56,41,Neutro
Pacífico Norte,2/18/2020,2020,2,18,29.1,33.5,26.3,0,56,42.3,Neutro
Pacífico Norte,2/19/2020,2020,2,19,29.5,34.6,25.5,0,57,24.9,Neutro
Pacífico Norte,2/20/2020,2020,2,20,28.8,34,24.9,0,59,17.5,Neutro
Pacífico Norte,2/21/2020,2020,2,21,27.7,33.1,22.7,0,61,11.5,Neutro
Pacífico Norte,2/22/2020,2020,2,22,27.8,33.4,23.2,0,57,18.6,Neutro
Pacífico Norte,2/23/2020,2020,2,23,27.4,33.6,21.2,0,59,13.2,Neutro
Pacífico Norte,2/24/2020,2020,2,24,28.1,34.8,21.7,0,60,9.3,Neutro
Pacífico Norte,2/25/2020,2020,2,25,27.9,34,23.1,0.4,66,6.9,Neutro
Pacífico Norte,2/26/2020,2020,2,26,28.1,34,23.5,0,68,6.7,Neutro
Pacífico Norte,2/27/2020,2020,2,27,29.4,36.2,23.8,0,57,9.3,Neutro
Pacífico Norte,2/28/2020,2020,2,28,28.1,34.2,23.4,0,58,14.9,Neutro
Pacífico Norte,2/29/2020,2020,2,29,28.3,33,25,0,60,15.2,Neutro
Pacífico Norte,3/1/2020,2020,3,1,27.6,33.5,23.7,0.4,65,12.6,Neutro
Pacífico Norte,3/2/2020,2020,3,2,28.4,34.8,23.2,0,55,14.1,Neutro
Pacífico Norte,3/3/2020,2020,3,3,28.8,35,22.8,0,59,16,Neutro
Pacífico Norte,3/4/2020,2020,3,4,29.1,35.5,23.4,0,59,15.9,Neutro
Pacífico Norte,3/5/2020,2020,3,5,29.3,36.2,24.1,0,54,16.9,Neutro
Pacífico Norte,3/6/2020,2020,3,6,27.8,34.3,22,0,60,13.2,Neutro
Pacífico Norte,3/7/2020,2020,3,7,27.5,33.2,22.9,0,61,17,Neutro
Pacífico Norte,3/8/2020,2020,3,8,28.3,33.5,23.9,0,55,24.8,Neutro
Pacífico Norte,3/9/2020,2020,3,9,28.8,34.5,24.2,0,55,18.6,Neutro
Pacífico Norte,3/10/2020,2020,3,10,28.8,34.1,24.5,0,58,12.4,Neutro
Pacífico Norte,3/11/2020,2020,3,11,28.3,34.8,23.9,0.1,61,13.9,Neutro
Pacífico Norte,3/12/2020,2020,3,12,28.4,34.2,24.2,0,59,12,Neutro
Pacífico Norte,3/13/2020,2020,3,13,28.2,34.6,22.8,0.5,60,14.6,Neutro
Pacífico Norte,3/14/2020,2020,3,14,28.9,34.8,23.6,0,56,16.3,Neutro
Pacífico Norte,3/15/2020,2020,3,15,28.4,34.2,23.4,0.1,60,17.3,Neutro
Pacífico Norte,3/16/2020,2020,3,16,28.5,34,23,0,54,20.5,Neutro
Pacífico Norte,3/17/2020,2020,3,17,28.2,34.3,22.6,0,58,18.8,Neutro
Pacífico Norte,3/18/2020,2020,3,18,28.6,34.4,23.5,0,53,21,Neutro
Pacífico Norte,3/19/2020,2020,3,19,28.6,34.4,23,0,57,17.5,Neutro
Pacífico Norte,3/20/2020,2020,3,20,28.6,35,23.1,0,57,16.7,Neutro
Pacífico Norte,3/21/2020,2020,3,21,28,33.6,23.2,0,59,11.9,Neutro
Pacífico Norte,3/22/2020,2020,3,22,27.7,33.2,22.5,0.1,60,13.8,Neutro
Pacífico Norte,3/23/2020,2020,3,23,28.4,34.3,22.8,0,56,21.7,Neutro
Pacífico Norte,3/24/2020,2020,3,24,28.7,34.8,23.3,0,55,16.9,Neutro
Pacífico Norte,3/25/2020,2020,3,25,28.8,35,22.8,0.1,56,11.4,Neutro
Pacífico Norte,3/26/2020,2020,3,26,28.6,35,21.4,0,59,11.4,Neutro
Pacífico Norte,3/27/2020,2020,3,27,28.8,35.9,22,0,57,11.8,Neutro
Pacífico Norte,3/28/2020,2020,3,28,28.3,35,21.9,0.6,61,14,Neutro
Pacífico Norte,3/29/2020,2020,3,29,29,35.5,23,0,54,16.3,Neutro
Pacífico Norte,3/30/2020,2020,3,30,28.9,35.3,23,0,55,16.3,Neutro
Pacífico Norte,3/31/2020,2020,3,31,30.1,36.3,24,0,51,12.9,Neutro
Pacífico Norte,4/1/2020,2020,4,1,29.7,36.7,24.1,0.5,57,9.5,Neutro
Pacífico Norte,4/2/2020,2020,4,2,29.3,37.5,22.8,0.8,60,7.5,Neutro
Pacífico Norte,4/3/2020,2020,4,3,29.8,36.9,23.3,0,55,5.8,Neutro
Pacífico Norte,4/4/2020,2020,4,4,30.1,37.5,22.7,0,52,8.8,Neutro
Pacífico Norte,4/5/2020,2020,4,5,30.4,37.7,24.8,0,57,8.2,Neutro
Pacífico Norte,4/6/2020,2020,4,6,30.4,37.1,23.9,0,56,10.6,Neutro
Pacífico Norte,4/7/2020,2020,4,7,30.3,36.3,25.4,0,58,13.7,Neutro
Pacífico Norte,4/8/2020,2020,4,8,30.3,36.5,25.3,0,57,13.2,Neutro
Pacífico Norte,4/9/2020,2020,4,9,30.6,37.7,24.3,0,56,12.4,Neutro
Pacífico Norte,4/10/2020,2020,4,10,31.2,38.2,25.5,0.9,54,8.3,Neutro
Pacífico Norte,4/11/2020,2020,4,11,31,38.2,24.4,0,53,10,Neutro
Pacífico Norte,4/12/2020,2020,4,12,30.3,36,25.1,0.7,59,10.8,Neutro
Pacífico Norte,4/13/2020,2020,4,13,28.3,34.7,24.5,7.9,77,6.5,Neutro
Pacífico Norte,4/14/2020,2020,4,14,29.2,34.9,24.5,2.3,70,9.2,Neutro
Pacífico Norte,4/15/2020,2020,4,15,28.9,35.6,23.2,1.3,64,7.1,Neutro
Pacífico Norte,4/16/2020,2020,4,16,28.8,35.7,23.1,0.7,61,11.9,Neutro
Pacífico Norte,4/17/2020,2020,4,17,28.7,36.2,22.2,0,55,12.3,Neutro
Pacífico Norte,4/18/2020,2020,4,18,29.7,37,22,0,51,8.5,Neutro
Pacífico Norte,4/19/2020,2020,4,19,29,37.6,22.2,0.3,57,7.2,Neutro
Pacífico Norte,4/20/2020,2020,4,20,29.1,35.6,23.5,0,61,8.4,Neutro
Pacífico Norte,4/21/2020,2020,4,21,28.9,33.8,24.8,0.8,67,8.9,Neutro
Pacífico Norte,4/22/2020,2020,4,22,29.6,34.8,24.6,1.9,59,5.9,Neutro
Pacífico Norte,4/23/2020,2020,4,23,28.9,37.2,23,3.5,61,8.1,Neutro
Pacífico Norte,4/24/2020,2020,4,24,28.2,34.7,24.3,2.4,74,7.4,Neutro
Pacífico Norte,4/25/2020,2020,4,25,27.1,34.8,23.2,6.3,80,4.5,Neutro
Pacífico Norte,4/26/2020,2020,4,26,28.3,35.1,21.8,0,65,9.6,Neutro
Pacífico Norte,4/27/2020,2020,4,27,28.4,34.2,22.5,0,67,10.7,Neutro
Pacífico Norte,4/28/2020,2020,4,28,28.7,34.1,24.2,0,62,10,Neutro
Pacífico Norte,4/29/2020,2020,4,29,28.5,35,23.5,0.2,63,7.7,Neutro
Pacífico Norte,4/30/2020,2020,4,30,29,34.5,23.8,1.1,61,4.6,Neutro
Pacífico Norte,5/1/2020,2020,5,1,29,34.4,23.2,0,62,10.2,Neutro
Pacífico Norte,5/2/2020,2020,5,2,29.3,35.6,23.8,0,60,12.6,Neutro
Pacífico Norte,5/3/2020,2020,5,3,29.5,36.3,23.3,0,59,10.7,Neutro
Pacífico Norte,5/4/2020,2020,5,4,29.5,36.5,23,0,60,10.9,Neutro
Pacífico Norte,5/5/2020,2020,5,5,29.9,37,24.2,0.8,62,9.4,Neutro
Pacífico Norte,5/6/2020,2020,5,6,30,35.8,25,0.7,62,10.4,Neutro
Pacífico Norte,5/7/2020,2020,5,7,29.8,34.6,24.9,0,62,8.8,Neutro
Pacífico Norte,5/8/2020,2020,5,8,29.8,34.9,25.5,0.5,62,10.7,Neutro
Pacífico Norte,5/9/2020,2020,5,9,29.6,35.2,25.6,2.8,69,4.9,Neutro
Pacífico Norte,5/10/2020,2020,5,10,29.6,36.4,25.5,6.7,71,5,Neutro
Pacífico Norte,5/11/2020,2020,5,11,29.6,36.5,24.8,1.8,72,8.3,Neutro
Pacífico Norte,5/12/2020,2020,5,12,29.6,35.6,25.4,2.5,70,7.2,Neutro
Pacífico Norte,5/13/2020,2020,5,13,29.1,36.6,23.9,2.1,68,7.4,Neutro
Pacífico Norte,5/14/2020,2020,5,14,28.1,35.7,23.4,5.8,77,6.3,Neutro
Pacífico Norte,5/15/2020,2020,5,15,28.1,35.5,24.1,13.2,76,4.3,Neutro
Pacífico Norte,5/16/2020,2020,5,16,27.5,33.6,23.9,6.4,84,3.3,Neutro
Pacífico Norte,5/17/2020,2020,5,17,28.7,34.8,23.4,0.8,74,5.8,Neutro
Pacífico Norte,5/18/2020,2020,5,18,28,33.5,24.8,2.5,78,8.7,Neutro
Pacífico Norte,5/19/2020,2020,5,19,26.7,30.8,24.4,18.5,87,7.8,Neutro
Pacífico Norte,5/20/2020,2020,5,20,26.1,31.8,24,102.1,88,6.6,Neutro
Pacífico Norte,5/21/2020,2020,5,21,25.8,31.8,23.8,22.6,90,5.7,Neutro
Pacífico Norte,5/22/2020,2020,5,22,26.5,32.2,23.5,22.5,88,5.9,Neutro
Pacífico Norte,5/23/2020,2020,5,23,26.7,30.8,23.4,4.1,87,5.6,Neutro
Pacífico Norte,5/24/2020,2020,5,24,26.9,31.2,24.4,14.5,89,6.1,Neutro
Pacífico Norte,5/25/2020,2020,5,25,26,29.4,24.2,7.6,92,6.3,Neutro
Pacífico Norte,5/26/2020,2020,5,26,26.2,30.2,23.8,16.5,91,3.9,Neutro
Pacífico Norte,5/27/2020,2020,5,27,25.7,29,24.5,18.2,94,5.3,Neutro
Pacífico Norte,5/28/2020,2020,5,28,25.5,29,23.8,43.2,92,6.9,Neutro
Pacífico Norte,5/29/2020,2020,5,29,24.8,27.5,23.5,14.1,91,10.2,Neutro
Pacífico Norte,5/30/2020,2020,5,30,24.2,26.4,23.1,13.6,93,10.5,Neutro
Pacífico Norte,5/31/2020,2020,5,31,25,28.5,23,28.2,91,8.3,Neutro
Pacífico Norte,6/1/2020,2020,6,1,25.1,28.4,23.2,24.1,92,3.9,Neutro
Pacífico Norte,6/2/2020,2020,6,2,25.4,28.8,23.2,9.8,90,5.9,Neutro
Pacífico Norte,6/3/2020,2020,6,3,25,28.1,22.6,29,92,5.4,Neutro
Pacífico Norte,6/4/2020,2020,6,4,24.5,27,22.9,40.1,93,7.3,Neutro
Pacífico Norte,6/5/2020,2020,6,5,25.6,29,22.8,6.4,88,6.2,Neutro
Pacífico Norte,6/6/2020,2020,6,6,25.5,29.5,23.4,12.2,90,7.8,Neutro
Pacífico Norte,6/7/2020,2020,6,7,26.3,30.8,23.5,13.4,89,4.5,Neutro
Pacífico Norte,6/8/2020,2020,6,8,26.6,31.5,22.8,3,89,4.5,Neutro
Pacífico Norte,6/9/2020,2020,6,9,26,31.2,23.3,6.9,90,5.6,Neutro
Pacífico Norte,6/10/2020,2020,6,10,25,30,22.9,25.4,93,5.2,Neutro
Pacífico Norte,6/11/2020,2020,6,11,25.7,29.8,22.5,8.1,89,5.2,Neutro
Pacífico Norte,6/12/2020,2020,6,12,25.3,30.6,22,5.6,88,5.2,Neutro
Pacífico Norte,6/13/2020,2020,6,13,24.5,28.2,22.9,32.3,94,4.7,Neutro
Pacífico Norte,6/14/2020,2020,6,14,25,29,22.4,16.5,92,3.6,Neutro
Pacífico Norte,6/15/2020,2020,6,15,25.8,30.6,23.2,11.8,91,5.1,Neutro
Pacífico Norte,6/16/2020,2020,6,16,25.4,29.5,22.8,20.6,91,5.9,Neutro
Pacífico Norte,6/17/2020,2020,6,17,25.8,29.2,22.7,3,89,4.8,Neutro
Pacífico Norte,6/18/2020,2020,6,18,26.3,31.1,23,1.4,87,8.6,Neutro
Pacífico Norte,6/19/2020,2020,6,19,26.3,31.9,22,5.2,84,5.2,Neutro
Pacífico Norte,6/20/2020,2020,6,20,26.6,30.8,22.7,2.3,85,6.3,Neutro
Pacífico Norte,6/21/2020,2020,6,21,26.4,30.5,24.2,14.9,89,4.9,Neutro
Pacífico Norte,6/22/2020,2020,6,22,27.4,32.3,24,0.3,82,5.3,Neutro
Pacífico Norte,6/23/2020,2020,6,23,26.9,31.6,23.2,1,84,8.7,Neutro
Pacífico Norte,6/24/2020,2020,6,24,26.8,31.1,23,4,83,7.5,Neutro
Pacífico Norte,6/25/2020,2020,6,25,27,31.6,23.4,0.2,80,7.1,Neutro
Pacífico Norte,6/26/2020,2020,6,26,26.5,30.7,22.3,0,79,8.8,Neutro
Pacífico Norte,6/27/2020,2020,6,27,25.2,27.6,22.6,21,90,3.5,Neutro
Pacífico Norte,6/28/2020,2020,6,28,26.1,30.5,22.6,2.2,85,6.5,Neutro
Pacífico Norte,6/29/2020,2020,6,29,25.4,28.6,23,22.1,92,5.8,Neutro
Pacífico Norte,6/30/2020,2020,6,30,26.3,29.9,23.6,1,84,9.6,Neutro
Pacífico Norte,7/1/2020,2020,7,1,25.4,28.1,23.1,4.9,91,4.1,Neutro
Pacífico Norte,7/2/2020,2020,7,2,25.4,30.5,22,12.8,88,4.9,Neutro
Pacífico Norte,7/3/2020,2020,7,3,25.6,29.6,22.9,39.4,90,3.5,Neutro
Pacífico Norte,7/4/2020,2020,7,4,26.3,31.7,23.5,10.9,88,7.3,Neutro
Pacífico Norte,7/5/2020,2020,7,5,25.4,29.6,22.7,11.1,90,7.3,Neutro
Pacífico Norte,7/6/2020,2020,7,6,26,31.5,23.1,5.3,88,5.3,Neutro
Pacífico Norte,7/7/2020,2020,7,7,26.6,31.5,22.1,0.5,81,6.8,Neutro
Pacífico Norte,7/8/2020,2020,7,8,26.5,30,23.1,0,80,5.6,Neutro
Pacífico Norte,7/9/2020,2020,7,9,25.4,31.1,22.4,15.8,88,6.2,Neutro
Pacífico Norte,7/10/2020,2020,7,10,24.9,29.1,22.5,13,91,5.7,Neutro
Pacífico Norte,7/11/2020,2020,7,11,25.9,31.3,22,0,84,6.4,Neutro
Pacífico Norte,7/12/2020,2020,7,12,25.4,29.4,21.8,7.5,88,7.1,Neutro
Pacífico Norte,7/13/2020,2020,7,13,26.3,30.6,23.7,0.2,85,5.3,Neutro
Pacífico Norte,7/14/2020,2020,7,14,25.6,30.6,22.2,7.2,87,8.3,Neutro
Pacífico Norte,7/15/2020,2020,7,15,25.5,30.5,22.6,10.4,89,7.8,Neutro
Pacífico Norte,7/16/2020,2020,7,16,26.7,32,22.5,0.4,81,7.7,Neutro
Pacífico Norte,7/17/2020,2020,7,17,27.3,32,23,0,74,8.9,Neutro
Pacífico Norte,7/18/2020,2020,7,18,27.1,31.9,22.5,0.1,80,5.6,Neutro
Pacífico Norte,7/19/2020,2020,7,19,27.4,32.3,23.8,0.3,82,6.9,Neutro
Pacífico Norte,7/20/2020,2020,7,20,27.2,32.8,23.4,1.2,81,8.7,Neutro
Pacífico Norte,7/21/2020,2020,7,21,25.7,30.2,23.1,15.9,89,5.7,Neutro
Pacífico Norte,7/22/2020,2020,7,22,25.3,29.9,22.9,24.4,90,4.9,Neutro
Pacífico Norte,7/23/2020,2020,7,23,25.8,31,22.2,2.1,89,5.3,Neutro
Pacífico Norte,7/24/2020,2020,7,24,26.4,31.5,22.9,2.5,84,8.4,Neutro
Pacífico Norte,7/25/2020,2020,7,25,24.8,28.2,22.8,17.9,92,7.2,Neutro
Pacífico Norte,7/26/2020,2020,7,26,25.4,29.4,22.5,12.8,90,4.1,Neutro
Pacífico Norte,7/27/2020,2020,7,27,25.5,29.9,22.2,13.2,90,4.1,Neutro
Pacífico Norte,7/28/2020,2020,7,28,25.5,30,22.6,30.7,91,4.6,Neutro
Pacífico Norte,7/29/2020,2020,7,29,26.3,31.4,22.7,2.7,87,5.9,Neutro
Pacífico Norte,7/30/2020,2020,7,30,27.2,32.3,22.8,0,81,6.6,Neutro
Pacífico Norte,7/31/2020,2020,7,31,28,33.6,22.2,0.1,76,5.6,Neutro
Pacífico Norte,8/1/2020,2020,8,1,27,30.9,23.1,3,84,4.1,La Niña
Pacífico Norte,8/2/2020,2020,8,2,27.6,33.7,24,4.5,84,4.8,La Niña
Pacífico Norte,8/3/2020,2020,8,3,27.1,33.5,22.9,2.4,83,5.5,La Niña
Pacífico Norte,8/4/2020,2020,8,4,26.5,32.5,22.7,6.2,87,6.4,La Niña
Pacífico Norte,8/5/2020,2020,8,5,25.3,28.5,22.6,20.8,92,8.3,La Niña
Pacífico Norte,8/6/2020,2020,8,6,25.1,29.8,23.2,18.8,91,5.3,La Niña
Pacífico Norte,8/7/2020,2020,8,7,26.7,32,22.3,0.3,84,3.9,La Niña
Pacífico Norte,8/8/2020,2020,8,8,27.3,31.6,23.4,0,82,6.9,La Niña
Pacífico Norte,8/9/2020,2020,8,9,26.7,30.6,23.6,5.4,85,7.9,La Niña
Pacífico Norte,8/10/2020,2020,8,10,25.1,28.2,23.2,28.9,93,4.8,La Niña
Pacífico Norte,8/11/2020,2020,8,11,26.6,30.6,23.5,2.7,84,6.2,La Niña
Pacífico Norte,8/12/2020,2020,8,12,27.1,32.5,22.3,0.1,77,7.9,La Niña
Pacífico Norte,8/13/2020,2020,8,13,26.4,29.9,23,0.3,84,7.8,La Niña
Pacífico Norte,8/14/2020,2020,8,14,26.1,31,23.5,15.9,88,7.5,La Niña
Pacífico Norte,8/15/2020,2020,8,15,24.6,26.6,23.2,22.9,94,5.8,La Niña
Pacífico Norte,8/16/2020,2020,8,16,26.1,31.2,22.1,1.4,83,4.2,La Niña
Pacífico Norte,8/17/2020,2020,8,17,26.2,31.6,22.1,3.7,86,5,La Niña
Pacífico Norte,8/18/2020,2020,8,18,25.9,30.9,22.4,14.5,87,4.6,La Niña
Pacífico Norte,8/19/2020,2020,8,19,25.1,29.4,22.4,55.5,90,5.7,La Niña
Pacífico Norte,8/20/2020,2020,8,20,24.4,28.5,22.9,84.1,94,6,La Niña
Pacífico Norte,8/21/2020,2020,8,21,24.1,26.7,23.1,43.8,95,6.2,La Niña
Pacífico Norte,8/22/2020,2020,8,22,24.3,26,23.3,22.9,95,7.2,La Niña
Pacífico Norte,8/23/2020,2020,8,23,25,27.4,23.1,4.1,88,10.5,La Niña
Pacífico Norte,8/24/2020,2020,8,24,24.7,27.1,23.4,7.6,93,10,La Niña
Pacífico Norte,8/25/2020,2020,8,25,24.5,27,23.4,19.6,96,8,La Niña
Pacífico Norte,8/26/2020,2020,8,26,23.5,25.3,22.6,61.9,97,8.3,La Niña
Pacífico Norte,8/27/2020,2020,8,27,24.5,27.8,22.8,23.2,93,6.4,La Niña
Pacífico Norte,8/28/2020,2020,8,28,25.8,30.7,21.5,5.3,87,4,La Niña
Pacífico Norte,8/29/2020,2020,8,29,26,30.7,22.6,5.2,87,5.2,La Niña
Pacífico Norte,8/30/2020,2020,8,30,26.1,31.9,22.6,2.2,86,5.3,La Niña
Pacífico Norte,8/31/2020,2020,8,31,25.9,32,21.5,4.2,83,5.1,La Niña
Pacífico Norte,9/1/2020,2020,9,1,25.4,29.3,21.8,6.8,89,4.7,La Niña
Pacífico Norte,9/2/2020,2020,9,2,25.4,29.9,23,11.6,89,5,La Niña
Pacífico Norte,9/3/2020,2020,9,3,24.9,28.3,22.8,13.3,92,5.2,La Niña
Pacífico Norte,9/4/2020,2020,9,4,24.9,29.5,22.4,26,92,4.3,La Niña
Pacífico Norte,9/5/2020,2020,9,5,25.1,28.5,23,12.6,92,4.3,La Niña
Pacífico Norte,9/6/2020,2020,9,6,25.1,28.5,22.5,22,92,4.8,La Niña
Pacífico Norte,9/7/2020,2020,9,7,25.2,29,22.7,13.3,90,7.3,La Niña
Pacífico Norte,9/8/2020,2020,9,8,25.5,30.1,23.6,12.2,87,9.9,La Niña
Pacífico Norte,9/9/2020,2020,9,9,25.1,28,23,13.3,92,4.8,La Niña
Pacífico Norte,9/10/2020,2020,9,10,25.7,31.9,22.4,7,90,5.9,La Niña
Pacífico Norte,9/11/2020,2020,9,11,25.5,30.4,23,12.6,90,5.2,La Niña
Pacífico Norte,9/12/2020,2020,9,12,24.9,27.9,23.3,10.4,93,5.6,La Niña
Pacífico Norte,9/13/2020,2020,9,13,25.3,29.9,23,13.6,91,4.7,La Niña
Pacífico Norte,9/14/2020,2020,9,14,25.3,28.6,23.4,6.3,92,6.2,La Niña
Pacífico Norte,9/15/2020,2020,9,15,25.3,28,23.5,12.8,93,4.7,La Niña
Pacífico Norte,9/16/2020,2020,9,16,25.4,28.4,23.4,8.2,93,6.6,La Niña
Pacífico Norte,9/17/2020,2020,9,17,25,28.5,22.3,8.4,91,5.1,La Niña
Pacífico Norte,9/18/2020,2020,9,18,25,28.6,22.5,7.8,91,4.4,La Niña
Pacífico Norte,9/19/2020,2020,9,19,25.3,28.9,22.4,8.5,92,4.3,La Niña
Pacífico Norte,9/20/2020,2020,9,20,25.4,29.9,23,30.7,92,3.9,La Niña
Pacífico Norte,9/21/2020,2020,9,21,25.8,31.6,22.1,9.9,86,5.2,La Niña
Pacífico Norte,9/22/2020,2020,9,22,26.1,31,23,9.4,88,4.2,La Niña
Pacífico Norte,9/23/2020,2020,9,23,25.5,30.6,21.9,9.1,89,7.9,La Niña
Pacífico Norte,9/24/2020,2020,9,24,24.4,27.6,23.2,46.7,93,10.1,La Niña
Pacífico Norte,9/25/2020,2020,9,25,25.2,28,22.6,11.6,91,4.8,La Niña
Pacífico Norte,9/26/2020,2020,9,26,26,32.1,21.9,5.8,87,6.4,La Niña
Pacífico Norte,9/27/2020,2020,9,27,25.4,31.4,21.9,2.4,87,4.2,La Niña
Pacífico Norte,9/28/2020,2020,9,28,25.5,31.4,21.5,5.4,87,4,La Niña
Pacífico Norte,9/29/2020,2020,9,29,25.5,31.5,22,16.1,88,5.4,La Niña
Pacífico Norte,9/30/2020,2020,9,30,24.9,28.8,22,21.1,91,5,La Niña
Pacífico Norte,10/1/2020,2020,10,1,25,28.6,23.2,27.1,93,3.6,La Niña
Pacífico Norte,10/2/2020,2020,10,2,24.3,27.5,22.8,23.7,94,5.6,La Niña
Pacífico Norte,10/3/2020,2020,10,3,24.5,26.6,23.1,28.1,93,5.1,La Niña
Pacífico Norte,10/4/2020,2020,10,4,24,25.9,22.5,38.8,96,5.1,La Niña
Pacífico Norte,10/5/2020,2020,10,5,24.8,27.5,23,16.1,93,5.6,La Niña
Pacífico Norte,10/6/2020,2020,10,6,24.4,27,23,22.2,95,4.9,La Niña
Pacífico Norte,10/7/2020,2020,10,7,24.3,27.2,22.6,47.6,95,5.7,La Niña
Pacífico Norte,10/8/2020,2020,10,8,24.1,26.5,22.2,22.7,94,5.1,La Niña
Pacífico Norte,10/9/2020,2020,10,9,24.6,27,22.9,7,93,4.8,La Niña
Pacífico Norte,10/10/2020,2020,10,10,26.2,31.8,21.5,2.2,84,4.3,La Niña
Pacífico Norte,10/11/2020,2020,10,11,26.5,32.2,21.4,0.1,82,5.7,La Niña
Pacífico Norte,10/12/2020,2020,10,12,26.3,31.1,22.4,2.6,85,7.2,La Niña
Pacífico Norte,10/13/2020,2020,10,13,24.8,28.8,22.6,21.9,93,5.5,La Niña
